id_transaksi,tanggal,nama_produk,kategori,jumlah_terjual,harga_satuan,nama_kasir,metode_pembayaran,omzet,hari,kelompok_omzet
TRX0021,2026-08-06,Jus Alpukat,Minuman,13,8000,Pak Joko,QRIS,104000,Kamis,Besar
TRX0009,2026-08-04,Bakso,Makanan,6,11000,Bu Wati,QRIS,66000,Selasa,Sedang
TRX0013,2026-08-04,Bakso,Makanan,5,11000,Pak Joko,QRIS,55000,Selasa,Sedang
TRX0001,2026-08-03,Mie Ayam,Makanan,1,10000,Bu Wati,QRIS,10000,Senin,Kecil
TRX0063,2026-08-14,Keripik Singkong,Snack,9,3000,Pak Agus,Tunai,27000,Jumat,Sedang
TRX0065,2026-08-14,Es Jeruk,Minuman,8,4000,Bu Wati,QRIS,32000,Jumat,Sedang
TRX0044,2026-08-11,Es Teh,Minuman,9,3000,Bu Sri,Tunai,27000,Selasa,Sedang
TRX0039,2026-08-10,Nasi Uduk,Makanan,6,8000,Bu Wati,QRIS,48000,Senin,Sedang
TRX0030,2026-08-07,Nasi Goreng,Makanan,2,12000,Pak Joko,QRIS,24000,Jumat,Sedang
TRX0049,2026-08-12,Es Teh,Minuman,14,3000,Bu Sri,QRIS,42000,Rabu,Sedang
TRX0064,2026-08-14,Kerupuk,Snack,9,2000,Bu Wati,QRIS,18000,Jumat,Kecil
TRX0050,2026-08-12,Roti Bakar,Makanan,6,7000,Pak Joko,QRIS,42000,Rabu,Sedang
TRX0056,2026-08-13,Jus Alpukat,Minuman,3,8000,Pak Joko,QRIS,24000,Kamis,Sedang
TRX0024,2026-08-06,Nasi Uduk,Makanan,1,8000,Bu Sri,Tunai,8000,Kamis,Kecil
TRX0053,2026-08-13,Teh Botol,Minuman,9,5000,Bu Sri,QRIS,45000,Kamis,Sedang
TRX0041,2026-08-11,Jus Alpukat,Minuman,3,8000,Bu Wati,Tunai,24000,Selasa,Sedang
TRX0058,2026-08-13,Kerupuk,Snack,6,2000,Pak Agus,QRIS,12000,Kamis,Kecil
TRX0036,2026-08-10,Jus Alpukat,Minuman,6,8000,Bu Wati,QRIS,48000,Senin,Sedang
TRX0002,2026-08-03,Jus Alpukat,Minuman,2,8000,Pak Agus,Tunai,16000,Senin,Kecil
